url_path,page_title,traffic_views,products_mentioned,current_action_required,destination_url,notes,status
/index.html (via _includes/profession_modules.html),node-opcua – profession_modules section,67356 (homepage),OPC UA Modeler|OPC UA for Node-RED|@sterfive/file-transfer|@sterfive/node-opcua-pubsub|@sterfive/node-opcua-gds|@sterfive/optimized-client|@sterfive/crawler|@sterfive/opcua-web-prowy,REDUCE,https://www.sterfive.com,"Remove entire profession_modules.html include from index layout. Replace with single callout: 'For commercial and professional modules → sterfive.com'. This section lists every Sterfive commercial product with multi-paragraph descriptions and 'Get a quote' CTAs.",pending
/index.html (via _includes/featurelist.html),node-opcua – featurelist Pro Membership vignette,67356 (homepage),Professional support|Professional Membership|support subscription,REDUCE,https://support.sterfive.com,"Remove the 'Stability & Support with Pro Membership' vignette (lines 91-108 of featurelist.html). This sells the Professional Edition with CTA button to support.sterfive.com. Keep the other three vignettes (Async, Quality, Open-Source, Live docs, Book, Volunteers).",pending
/index.html (via _includes/get_involved.html),node-opcua – get_involved support CTA,67356 (homepage),Professional support,REDUCE,https://www.sterfive.com,"Replace 'Request Sterfive support' commercial CTA (lines 43-61) with neutral 'For commercial support → sterfive.com' single-line link. Keep Submit issue, Fork, and Sponsor sections.",pending
/index.html (via _includes/topnavbar.html),node-opcua – navigation bar,67356 (homepage),Support link to support.sterfive.com,NO ACTION,,"Navigation 'Support' link to support.sterfive.com is a single outbound link with no commercial content on the page itself. This is acceptable — users need to find support. Not a cannibalization issue.",pending
/index.html (via _includes/footer.html),node-opcua – footer,67356 (homepage),Sterfive logo link,NO ACTION,,"Footer has a small Sterfive logo linking to sterfive.com. Attribution only — no commercial keywords or descriptions. Not a cannibalization issue.",pending
/news/2025/02/12/boosting-opcua-client-performance.html,Boosting OPCUA Communication with @sterfive/opcua-optimized-client,unknown,@sterfive/optimized-client|@sterfive/crawler|OPC UA for Node-RED|Sterfive OPCUA Aggregator|professional support,REDUCE,https://www.sterfive.com,"Blog post is primarily a product page for @sterfive/optimized-client. The technical benchmark content is valuable for node-opcua SDK context. REDUCE: Remove 'Sterfive's Broader Ecosystem' section (lines 143-154) which cross-sells other products. Keep benchmark/code but add disclaimer that this is a Sterfive commercial module. Do NOT delete — technical content has SEO value for 'opcua client performance' which is a legitimate SDK keyword.",pending
/news/2022/02/16/node-opcua-pubsub-episode1.html,Node-OPCUA goes PubSub - Episode 1,unknown,@sterfive/node-opcua-pubsub-server|@sterfive/node-opcua-pubsub-expander|professional support|membership subscription,REDUCE,https://www.sterfive.com,"Blog post is a technical PubSub tutorial — valuable SDK content. The @sterfive package names in code samples are OK (they're necessary for the tutorial). REDUCE: Shorten the commercial outro (lines 422-432) to one line + outbound link. Per §4.2: PubSub mentions in tutorial/educational context are not cannibalization findings — the commercial pitch at the end IS.",pending
/news/2023/10/04/node-opcua-open-source-is-permanent-beta.html,Permanent Beta Manifesto,159,Professional Edition|Professional Long-Term Support|professional support plan|contact@sterfive.com,NOINDEX+REWRITE,,"SEO liability flagged in runbook §4.1. 'Defensive framing scares industrial buyers.' Add <meta name='robots' content='noindex,follow'> immediately. Title and content position open-source as inferior ('perpetual beta' = 'contains bugs'). Schedule rewrite as superseding 2026 post. Do NOT delete — preserve URL authority.",pending
/news/2024/03/19/OPC-UA-Model-vs-tag-naming-convention.html,OPC UA Model vs Tag Naming Convention,unknown,OPCUA Modeler by Sterfive (reference link),CANONICAL,https://www.sterfive.com/product/modeler,"Technical article about OPC UA modeling is excellent SDK content. The single reference link to 'OPCUA Modeler by Sterfive' in the References section is a passing mention. Per decision tree: passing mention in tutorial content → add canonical pointing to the Sterfive Modeler page so this page doesn't compete for 'OPC UA Modeler' keyword.",pending
/news/2023/06/07/when-seamless-operation-sparks-sustainable-partneship.html,When Seamless Operation Sparks a Sustainable Partnership,unknown,Support Membership Program|Consultation and Training|support.stefive.com,REDUCE,https://support.sterfive.com,"Blog post is primarily a sales pitch for support membership. Nearly the entire post sells commercial services (Support Membership, Sponsorship, Consultation). REDUCE: Strip the three commercial CTAs down to a single line with outbound link. Keep the 'great software' opening and community partnership messaging.",pending
/news/2023/07/08/ride-the-open-source-wave-with-node-opcua.html,Ride the Open-Source Wave with NodeOPCUA,unknown,Support Membership Program|Consultation and Training|support.stefive.com,REDUCE,https://support.sterfive.com,"Same pattern as the partnership post — commercial sales pitch for support membership dressed as community content. REDUCE: Strip commercial CTAs to single outbound link. Keep the 'open-source community' messaging.",pending
/index.html (via _includes/node-opcua-by-example-book.html),node-opcua – book section,67356 (homepage),(Amazon affiliate links with tag=sterfive-21),NO ACTION,,"Amazon affiliate links for OPC UA books use Sterfive affiliate tag. This is not a commercial product mention — it's book recommendations. The affiliate tag is just tracking. Not a cannibalization issue.",pending
/index.html (via _includes/_unused_feature.html),node-opcua – unused feature,0 (not included in any layout),professionnal modules (generic mention),NO ACTION,,"File is not included in any layout (filename starts with underscore convention). Line 14 mentions 'professionnal modules' generically. Not rendered — no action needed.",pending
/index.html (via _includes/sponsors_old.html),node-opcua – old sponsors section,0 (not included in any layout),(none),NO ACTION,,"Legacy sponsors include with Kalycito and OSADL logos. Not included in current layout. Sponsor logos are not commercial products. No action needed.",pending
/_posts/2018-01-19-node-opcua-embraces-async-await.md,node-opcua embraces async/await,unknown,opcuademo.sterfive.com (endpoint URL)|Sterfive (author bio),NO ACTION,,"Mentions of sterfive are: (1) demo server hostname in code samples — technical necessity; (2) author attribution. No commercial product mentions. False positive.",pending
/_posts/2015-07-05-weather-station.md,Weather Station Tutorial,unknown,(none),NO ACTION,,"No commercial product mentions. Pure technical tutorial.",pending
/_posts/2019-01-15-node-opcua-goes-typescript.md,node-opcua goes typescript,unknown,(none),NO ACTION,,"No commercial product mentions. Pure technical announcement.",pending
